epoch,learning_rate,loss,mae,mape,root_mean_squared_error,val_loss,val_mae,val_mape,val_root_mean_squared_error
0,0.10000000149011612,26.528799057006836,0.0568811409175396,8837.7841796875,0.28446856141090393,0.010572444647550583,0.012688861228525639,3.452744722366333,0.024739351123571396
1,0.10000000149011612,27.61056900024414,0.02926786057651043,9203.041015625,0.0640883594751358,0.008660862222313881,0.009952194057404995,2.82065486907959,0.023838788270950317
2,0.10000000149011612,26.80299949645996,0.020386740565299988,8934.0546875,0.048383213579654694,0.017083201557397842,0.020671650767326355,5.597487926483154,0.02882184088230133
3,0.10000000149011612,26.31319808959961,0.02251383103430271,8770.681640625,0.05745595693588257,4.126689910888672,3.0656228065490723,776.9181518554688,3.0657176971435547
4,0.10000000149011612,26.856508255004883,0.05036741867661476,8950.6416015625,0.11518164724111557,0.015024734660983086,0.018657440319657326,4.918012619018555,0.027810582891106606
5,0.10000000149011612,28.535573959350586,0.025823209434747696,9511.4375,0.059572622179985046,0.01031043566763401,0.012052930891513824,3.3675475120544434,0.024366086348891258
6,0.10000000149011612,27.122289657592773,0.021060189232230186,9040.359375,0.059236690402030945,0.013486629351973534,0.016095206141471863,4.416128158569336,0.0260904673486948
7,0.05000000074505806,27.649375915527344,0.013997703790664673,9216.341796875,0.03191910684108734,0.014003687538206577,0.016766056418418884,4.5862932205200195,0.02644745633006096
8,0.05000000074505806,27.583824157714844,0.013189668767154217,9194.5166015625,0.027946148067712784,0.011666384525597095,0.014158394187688828,3.813844919204712,0.025346355512738228
9,0.05000000074505806,27.142377853393555,0.015328988432884216,9047.345703125,0.03081337921321392,0.0079325120896101,0.009087665006518364,2.578399181365967,0.023743897676467896
10,0.05000000074505806,27.237632751464844,0.014048459939658642,9079.1259765625,0.02707134559750557,0.007777015678584576,0.008885902352631092,2.5266857147216797,0.023722434416413307
11,0.05000000074505806,27.527225494384766,0.015968747437000275,9175.5908203125,0.03556779399514198,0.017449140548706055,0.021853428333997726,5.711671829223633,0.02995864301919937
12,0.05000000074505806,27.18063735961914,0.00990449171513319,9060.15625,0.022152064368128777,0.4434029757976532,0.4791256785392761,120.94154357910156,0.4798165559768677
13,0.05000000074505806,27.688148498535156,0.02480044774711132,9229.0517578125,0.05326882004737854,0.0077959708869457245,0.008917293511331081,2.5329222679138184,0.02373717911541462
14,0.05000000074505806,27.36257553100586,0.01471490878611803,9120.736328125,0.0323285311460495,0.7379888296127319,0.7253698706626892,184.54400634765625,0.7257657647132874
15,0.05000000074505806,27.500022888183594,0.010734080336987972,9166.5908203125,0.026705125346779823,0.12284871190786362,0.1517140418291092,38.20626449584961,0.15334345400333405
16,0.02500000037252903,27.525325775146484,0.01229840237647295,9175.0283203125,0.02564324252307415,0.016105057671666145,0.020077044144272804,5.272572040557861,0.028652949258685112
17,0.02500000037252903,27.516159057617188,0.009822248481214046,9172.00390625,0.019367491826415062,0.008095760829746723,0.0093222726136446,2.6326072216033936,0.023781398311257362
18,0.02500000037252903,27.40728759765625,0.0101548470556736,9135.7216796875,0.01973719894886017,0.007907770574092865,0.009010326117277145,2.5703065395355225,0.023715758696198463
19,0.02500000037252903,27.349241256713867,0.009901268407702446,9116.3642578125,0.01955849677324295,0.008077147416770458,0.009213034994900227,2.626692771911621,0.023729020729660988
20,0.02500000037252903,27.43633460998535,0.010565301403403282,9145.392578125,0.02046303264796734,0.012639409862458706,0.015034735202789307,4.13693380355835,0.0255573783069849
21,0.012500000186264515,27.390745162963867,0.008500196970999241,9130.2041015625,0.01851477287709713,0.00791000947356224,0.0090015335008502,2.5711021423339844,0.023706890642642975
22,0.012500000186264515,27.620546340942383,0.007972591556608677,9206.8115234375,0.01815616898238659,0.007599239237606525,0.008615534752607346,2.467648983001709,0.023682264611124992
23,0.012500000186264515,27.468852996826172,0.008807016536593437,9156.232421875,0.018582496792078018,0.008209488354623318,0.009375115856528282,2.670668125152588,0.02375394105911255
24,0.012500000186264515,27.52998161315918,0.008313650265336037,9176.62109375,0.01840103045105934,0.00934978760778904,0.011038694530725479,3.0483205318450928,0.02419140934944153
