Company,Status,Test R2 (Diff),Test MAE (Diff),Test RMSE (Diff),Test MAE (Abs Close)
GAZP,Success,-0.13822460174560547,0.6148051023483276,0.9284653845432,0.6148051552929227
LKOH,Success,-0.12177252769470215,19.63442611694336,30.13427895381614,19.634426254178543
ROSN,Success,-0.03535008430480957,1.8535691499710083,2.978668829307807,1.8535689938675846
SBER,Success,-0.049967408180236816,0.7606186866760254,1.1850949074769426,0.7606186911002403
T,Success,-0.16290724277496338,10.420860290527344,16.68049800431255,10.420860319925223
VTBR,Success,-0.22296154499053955,0.4006742238998413,0.5994855771576807,0.4006742309574513
