iter	Passed	Remaining
411	3785	5402
412	3792	5389
413	3801	5380
414	3807	5367
415	3816	5358
416	3823	5345
417	3832	5336
418	3838	5323
419	3848	5314
420	3855	5302
421	3865	5294
422	3872	5281
423	3880	5271
424	3887	5259
425	3895	5248
426	3902	5236
427	3910	5226
428	3918	5215
429	3926	5205
430	3934	5193
431	3942	5183
432	3948	5170
433	3955	5158
434	3964	5149
435	3971	5137
436	3982	5130
437	3988	5118
438	3999	5110
439	4008	5101
440	4014	5089
441	4021	5077
442	4030	5067
443	4036	5054
444	4045	5045
445	4051	5033
446	4061	5024
447	4067	5011
448	4075	5001
449	4082	4990
450	4091	4980
451	4099	4970
452	4108	4960
453	4115	4949
454	4123	4938
455	4133	4931
456	4141	4920
457	4148	4908
458	4155	4898
459	4166	4891
460	4177	4884
461	4184	4872
462	4193	4863
463	4200	4851
464	4209	4842
465	4215	4831
466	4224	4821
467	4231	4810
468	4240	4801
469	4247	4789
470	4255	4779
471	4262	4768
472	4270	4758
473	4277	4747
474	4285	4736
475	4292	4725
476	4298	4713
477	4306	4703
478	4313	4691
479	4321	4681
480	4328	4670
481	4335	4659
482	4343	4649
483	4351	4639
484	4358	4628
485	4365	4616
486	4373	4607
487	4380	4595
488	4388	4585
489	4395	4574
490	4403	4565
491	4412	4555
492	4423	4548
493	4429	4537
494	4438	4527
495	4444	4516
496	4454	4507
497	4460	4496
498	4469	4487
499	4476	4476
500	4484	4466
501	4491	4455
502	4498	4444
503	4506	4434
504	4514	4425
505	4521	4414
506	4528	4403
507	4537	4394
508	4543	4383
509	4552	4374
510	4559	4363
511	4569	4354
512	4575	4343
513	4584	4335
514	4591	4324
515	4601	4315
516	4608	4305
517	4616	4295
518	4624	4286
519	4633	4276
520	4640	4266
521	4649	4257
522	4656	4247
523	4666	4239
524	4673	4228
525	4680	4217
526	4687	4207
527	4696	4198
528	4703	4187
529	4709	4176
530	4721	4170
531	4729	4160
532	4737	4150
533	4744	4140
534	4752	4130
535	4761	4122
536	4770	4113
537	4779	4104
538	4790	4097
539	4800	4089
540	4806	4078
541	4815	4069
542	4822	4058
543	4833	4051
544	4845	4044
545	4855	4037
546	4865	4029
547	4872	4019
548	4881	4009
549	4888	3999
550	4897	3990
551	4907	3982
552	4914	3972
553	4921	3962
554	4930	3953
555	4938	3943
556	4947	3934
557	4954	3924
558	4963	3915
559	4970	3905
560	4979	3896
561	4987	3886
562	4998	3879
563	5008	3871
564	5016	3862
565	5026	3854
566	5033	3844
567	5043	3836
568	5052	3827
569	5060	3817
570	5069	3808
571	5077	3799
572	5086	3790
573	5097	3783
574	5109	3776
575	5120	3769
576	5128	3759
577	5137	3750
578	5145	3741
579	5152	3731
580	5160	3721
581	5168	3712
582	5176	3702
583	5183	3692
584	5192	3683
585	5198	3673
586	5208	3664
587	5214	3653
588	5224	3645
589	5230	3635
590	5241	3627
591	5248	3616
592	5257	3608
593	5265	3598
594	5274	3589
595	5281	3580
596	5290	3571
597	5297	3561
598	5306	3552
599	5314	3542
600	5323	3534
601	5332	3525
602	5342	3517
603	5353	3509
604	5367	3504
605	5375	3494
606	5383	3485
607	5392	3476
608	5402	3468
609	5410	3459
610	5420	3450
611	5427	3440
612	5437	3432
613	5444	3422
614	5452	3413
615	5459	3403
616	5468	3394
617	5475	3384
618	5484	3375
619	5490	3365
620	5500	3356
621	5506	3346
622	5516	3338
623	5522	3327
624	5532	3319
625	5539	3309
626	5549	3301
627	5555	3290
628	5565	3282
629	5573	3273
630	5582	3264
631	5589	3254
632	5598	3245
633	5604	3235
634	5613	3226
635	5620	3216
636	5629	3207
637	5635	3197
638	5643	3188
639	5650	3178
640	5659	3169
641	5667	3160
642	5676	3151
643	5683	3141
644	5691	3132
645	5697	3122
646	5704	3112
647	5712	3102
648	5718	3092
649	5728	3084
650	5734	3074
651	5744	3065
652	5751	3056
653	5759	3046
654	5766	3037
655	5775	3028
656	5783	3019
657	5791	3010
